date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:13	252322/252322	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Mar%202016%2007:34:08%20GMT	http://html.nkdev.info/youplay/dark/assets/images/banner-bg.jpg	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/banner-bg.jpg	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:15	15251/15251	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/partner-logo-1.png	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/partner-logo-1.png	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:19	19790/19790	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/partner-logo-2.png	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/partner-logo-2.png	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:21	12871/12871	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/partner-logo-3.png	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/partner-logo-3.png	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:24	19242/19242	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/partner-logo-4.png	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/partner-logo-4.png	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:27	12322/12322	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/partner-logo-5.png	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/partner-logo-5.png	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:27	95921/95921	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/game-dragons-dogma-500x375.jpg	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/game-dragons-dogma-500x375.jpg	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:28	8745/8745	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/partner-logo-6.png	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/partner-logo-6.png	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:29	11778/11778	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/partner-logo-7.png	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/partner-logo-7.png	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:30	9455/9455	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/partner-logo-8.png	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/partner-logo-8.png	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:31	95957/95957	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/assets/plugins/jquery/jquery.min.js	/home/euter/websites/WebGames/html.nkdev.info/youplay/assets/plugins/jquery/jquery.min.js	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:32	32908/32908	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/assets/plugins/css-shapes-polyfill/shapes-polyfill.min.js	/home/euter/websites/WebGames/html.nkdev.info/youplay/assets/plugins/css-shapes-polyfill/shapes-polyfill.min.js	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:33	179044/179044	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/game-diablo-iii-500x375.jpg	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/game-diablo-iii-500x375.jpg	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:33	7453/7453	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/assets/plugins/jquery.hexagonprogress/jquery.hexagonprogress.min.js	/home/euter/websites/WebGames/html.nkdev.info/youplay/assets/plugins/jquery.hexagonprogress/jquery.hexagonprogress.min.js	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:34	36816/36816	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/assets/plugins/bootstrap/js/bootstrap.min.js	/home/euter/websites/WebGames/html.nkdev.info/youplay/assets/plugins/bootstrap/js/bootstrap.min.js	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:34	12615/12615	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/assets/plugins/skrollr/skrollr.min.js	/home/euter/websites/WebGames/html.nkdev.info/youplay/assets/plugins/skrollr/skrollr.min.js	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:34	20127/20127	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/assets/plugins/jarallax/jarallax/jarallax.js	/home/euter/websites/WebGames/html.nkdev.info/youplay/assets/plugins/jarallax/jarallax/jarallax.js	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:35	20326/20326	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/assets/plugins/smoothscroll/smoothscroll.js	/home/euter/websites/WebGames/html.nkdev.info/youplay/assets/plugins/smoothscroll/smoothscroll.js	(from http://html.nkdev.info/youplay/dark/index.html)
